Section,Subsection,Feature,Calculation,Data Source,Theory,Implementation,Type
Overview,Key Metrics Panel,Total Sessions,Count of evaluation reports,evaluation_reports/*.json,Basic statistical measure,benchmark_dashboard.py:335,Metric
Overview,Key Metrics Panel,Avg Cognitive Offloading Prevention,Mean of all session prevention rates,session_metrics.cognitive_offloading_prevention.overall_rate,Bloom's Taxonomy (1956),benchmark_dashboard.py:428-429,Metric
Overview,Key Metrics Panel,Avg Deep Thinking Engagement,Mean of all session engagement rates,session_metrics.deep_thinking_engagement.overall_rate,Kahneman's System 2 thinking (2011),benchmark_dashboard.py:430-431,Metric
Overview,Key Metrics Panel,Overall Improvement,Weighted avg of prevention and deep thinking improvements,Calculated vs. 30% and 35% baselines,Educational psychology research,benchmark_dashboard.py:443-448,Metric
Overview,Learning Metrics Chart,Time Series Plot,Session metrics plotted chronologically,session_metrics.timestamp,"Learning curve theory (Ebbinghaus, 1885)",benchmark_dashboard.py:467-505,Visualization
Overview,Proficiency Distribution,Proficiency Pie Chart,K-means clustering on graph features,proficiency_classification.level,Dreyfus model of skill acquisition (1980),graph_ml_benchmarking.py:359-395,Visualization
Cognitive Patterns,Session Comparison,Session Comparison Table,Direct metrics per session,evaluation_reports/*.json,Multi-dimensional assessment,benchmark_dashboard.py:776-780,Table
Cognitive Patterns,Average Patterns,Cognitive Patterns Radar,5 cognitive metrics averaged,Session metrics aggregated,Multi-dimensional assessment framework,benchmark_dashboard.py:790-835,Visualization
Cognitive Patterns,Average Patterns,Baseline Comparison,Literature values overlay,"[0.5, 0.35, 0.4, 0.45, 0.5]",Meta-analysis of traditional tutoring,benchmark_dashboard.py:918,Reference
Learning Progression,Skill Tracking,Skill Progression Over Time,Ordinal progression mapping,skill_progression.initial/final_level,Bloom's revised taxonomy (2001),evaluation_metrics.py:275-326,Visualization
Learning Progression,Learning Velocity,Learning Velocity Chart,Delta metrics / time,Temporal metric differences,Learning rate theory,benchmark_dashboard.py:1021-1065,Visualization
Agent Performance,Usage Distribution,Agent Usage Bar Chart,Frequency per agent type,agents_used field,Multi-agent system design,benchmark_dashboard.py:1270-1280,Visualization
Agent Performance,Effectiveness,Agent Effectiveness Metrics,Agent-specific cognitive metrics,Filtered by primary_agent,Agent specialization theory,benchmark_dashboard.py:1282-1315,Metric
Agent Performance,Handoff Flow,Agent Handoff Sankey,Sequential agent pairs,agents_used sequences,Workflow optimization,benchmark_dashboard.py:1348-1380,Visualization
Comparative Analysis,Improvements,Improvement by Dimension,(post - pre) / pre * 100,Session start/end metrics,Educational assessment theory,evaluation_metrics.py:425-450,Visualization
Comparative Analysis,Feature Impact,Feature Impact Analysis,Correlation analysis with outcomes,Real-time calculation from sessions,Feature importance analysis,benchmark_dashboard.py:163-212,Analysis
Anthropomorphism,Cognitive Autonomy,CAI Score,autonomy_ratio - 0.5 * dependency_ratio,input_type categorization,"Self-determination theory (Deci & Ryan, 1985)",anthropomorphism_metrics.py:182-204,Metric
Anthropomorphism,Dependency,ADS Score,personal_attributions + emotional_language,Text pattern matching,"Anthropomorphism in HCI (Nass & Moon, 2000)",anthropomorphism_metrics.py:218-250,Metric
Anthropomorphism,Boundaries,PBI Score,1 - conversation_drift - personal_intrusions,Topic modeling,Professional ethics in education,anthropomorphism_metrics.py:258-290,Metric
Anthropomorphism,Engagement,NES Score,concept_diversity + technical_vocabulary,Concept extraction,Cognitive flexibility theory,anthropomorphism_metrics.py:318-345,Metric
Linkography,Design Moves,Move Extraction,Meaningful action detection,Interaction content analysis,"Goldschmidt's linkography (1990, 2014)",linkography_analyzer.py:45-120,Process
Linkography,Link Generation,Fuzzy Linkography,Semantic similarity > 0.65,Cosine similarity of embeddings,"Fuzzy design reasoning (Kan & Gero, 2008)",linkography_engine.py:85-140,Algorithm
Linkography,Metrics,Link Density,Links / moves,Generated linkograph,Design productivity measure,linkography_engine.py:142-165,Metric
Linkography,Patterns,Critical Moves,High connectivity nodes,Link count analysis,Key decision identification,linkography_analyzer.py:200-230,Analysis
Proficiency Analysis,Characteristics,Question Quality,Complexity scoring,deep_thinking_engagement.question_complexity,Bloom's question levels,benchmark_dashboard.py:239,Metric
Proficiency Analysis,Characteristics,Reflection Depth,Response analysis,deep_thinking_engagement.overall_rate,"Reflective practice theory (Schön, 1983)",benchmark_dashboard.py:243,Metric
Proficiency Analysis,Progression,Growth Potential,Improvement trend analysis,Historical progression data,"Growth mindset theory (Dweck, 2006)",benchmark_dashboard.py:317-348,Analysis
Graph ML,Construction,Graph Building,"Nodes from interactions, edges from similarity",Text embeddings,Graph neural networks,graph_ml_benchmarking.py:90-120,Process
Graph ML,GNN Analysis,GraphSAGE Model,Neighborhood aggregation,Graph structure,Hamilton et al. (2017),graph_ml_benchmarking.py:250-320,Model
Graph ML,Clustering,Proficiency Clustering,K-means on embeddings,Graph features,Unsupervised learning,graph_ml_benchmarking.py:359-395,Algorithm
