epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7473,2.95982,5.35016,2.72947,0,0,0,0,3.47275,5.29127,3.18968,1.86e-06,1.86e-06,1.86e-06
2,19.805,3.21128,5.41992,2.93332,0,0,0,0,3.49737,5.28866,3.20096,4.60396e-06,4.60396e-06,4.60396e-06
3,20.7,3.09579,5.36923,2.86374,0,0,0,0,3.49212,5.27954,3.20331,7.29269e-06,7.29269e-06,7.29269e-06
4,21.6254,3.24757,5.39005,2.91053,0,0,0,0,3.48208,5.28554,3.19828,9.92617e-06,9.92617e-06,9.92617e-06
5,22.5804,2.72701,5.34369,2.67715,0,0,0,0,3.46683,5.26814,3.18051,1.25044e-05,1.25044e-05,1.25044e-05
6,23.6039,2.69956,5.27596,2.63168,0,0,0,0,3.44818,5.2734,3.15331,1.50274e-05,1.50274e-05,1.50274e-05
7,24.5689,3.02583,5.42152,2.7367,0,0,0,0,3.42109,5.27706,3.12326,1.74952e-05,1.74952e-05,1.74952e-05
8,25.4855,3.24997,5.3878,3.07579,0,0,0,0,3.4081,5.27853,3.10808,1.99077e-05,1.99077e-05,1.99077e-05
9,26.4307,3.1739,5.43262,2.87412,0,0,0,0,3.4081,5.27853,3.10808,2.22649e-05,2.22649e-05,2.22649e-05
10,27.3493,3.01345,5.3681,2.79782,0,0,0,0,3.34656,5.2765,3.07281,2.4567e-05,2.4567e-05,2.4567e-05
11,28.2472,2.97401,5.40905,2.72641,0,0,0,0,3.34656,5.2765,3.07281,2.68138e-05,2.68138e-05,2.68138e-05
12,29.2812,2.97725,5.3627,2.75794,0,0,0,0,3.30963,5.28148,3.04283,2.90053e-05,2.90053e-05,2.90053e-05
13,30.2174,3.01195,5.37865,2.67561,0,0,0,0,3.30963,5.28148,3.04283,3.11416e-05,3.11416e-05,3.11416e-05
14,31.1298,2.88778,5.31003,2.69431,0,0,0,0,3.26946,5.28096,3.03419,3.32227e-05,3.32227e-05,3.32227e-05
15,31.9401,2.80885,5.31409,2.61475,0,0,0,0,3.26946,5.28096,3.03419,3.52485e-05,3.52485e-05,3.52485e-05
16,32.7258,2.80849,5.36606,2.62622,0,0,0,0,3.26946,5.28096,3.03419,3.72191e-05,3.72191e-05,3.72191e-05
17,33.7448,2.96044,5.32227,2.90081,0,0,0,0,3.24015,5.27076,2.99333,3.91344e-05,3.91344e-05,3.91344e-05
18,34.68,2.78722,5.2756,2.79826,0,0,0,0,3.24015,5.27076,2.99333,4.09945e-05,4.09945e-05,4.09945e-05
19,35.5984,3.18994,5.38253,2.92089,0,0,0,0,3.24015,5.27076,2.99333,4.27993e-05,4.27993e-05,4.27993e-05
20,36.5524,2.64982,5.1808,2.54088,0,0,0,0,3.19083,5.25977,2.93446,4.4549e-05,4.4549e-05,4.4549e-05
21,37.5148,3.1825,5.35087,2.98821,0,0,0,0,3.19083,5.25977,2.93446,4.62433e-05,4.62433e-05,4.62433e-05
22,38.4098,2.89864,5.32723,2.73977,0,0,0,0,3.19083,5.25977,2.93446,4.78824e-05,4.78824e-05,4.78824e-05
