epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5185,3.20402,5.50137,2.97152,0.01273,0.02789,0.00837,0.00235,3.54179,5.47631,3.2594,8.68e-06,8.68e-06,8.68e-06
2,26.7906,3.0801,5.36756,2.88305,0.02241,0.03962,0.01716,0.00474,3.48808,5.35249,3.19331,1.79207e-05,1.79207e-05,1.79207e-05
3,36.3019,3.08576,5.29422,2.89588,0.02574,0.08277,0.0417,0.01739,3.37611,5.17315,3.12403,2.71e-05,2.71e-05,2.71e-05
4,44.7848,3.01139,5.15484,2.79174,0.58255,0.05662,0.07008,0.03341,3.2191,4.82468,3.03117,3.62179e-05,3.62179e-05,3.62179e-05
5,52.3542,2.90353,4.95687,2.7105,0.78005,0.04617,0.09653,0.05554,3.19133,4.7437,2.99807,4.52744e-05,4.52744e-05,4.52744e-05
6,60.7299,2.84799,4.63923,2.65268,0.80831,0.10152,0.1139,0.0591,3.14512,4.51977,2.93041,5.42695e-05,5.42695e-05,5.42695e-05
7,68.5121,2.74789,4.42634,2.56343,0.76603,0.11737,0.12208,0.06126,3.06733,4.33878,2.87523,6.32033e-05,6.32033e-05,6.32033e-05
8,75.9271,2.81164,4.31924,2.57574,0.76707,0.12361,0.13292,0.06244,2.98006,3.92505,2.77056,7.20757e-05,7.20757e-05,7.20757e-05
9,84.4537,2.77235,4.11439,2.5664,0.67611,0.11787,0.14183,0.06871,2.92536,3.75952,2.70872,8.08867e-05,8.08867e-05,8.08867e-05
10,93.0503,2.73435,4.0141,2.48604,0.63144,0.15012,0.16054,0.078,2.86437,3.6404,2.63962,8.96363e-05,8.96363e-05,8.96363e-05
11,100.529,2.70437,3.87061,2.45995,0.63144,0.15012,0.16054,0.078,2.86437,3.6404,2.63962,8.9931e-05,8.9931e-05,8.9931e-05
12,108.956,2.64773,3.69325,2.40932,0.46854,0.1675,0.16436,0.08344,2.79195,3.47554,2.57383,8.96241e-05,8.96241e-05,8.96241e-05
13,116.761,2.55475,3.57141,2.3569,0.39291,0.16039,0.17662,0.08975,2.72124,3.33557,2.51749,8.93172e-05,8.93172e-05,8.93172e-05
14,124.081,2.54618,3.32796,2.38502,0.46602,0.18244,0.22506,0.10882,2.67796,3.23617,2.47248,8.90103e-05,8.90103e-05,8.90103e-05
15,132.48,2.46962,3.20485,2.28381,0.53693,0.21251,0.26316,0.13119,2.63282,3.05448,2.4245,8.87034e-05,8.87034e-05,8.87034e-05
16,140.353,2.3726,3.11979,2.237,0.57424,0.22088,0.26905,0.12993,2.59819,2.94832,2.3969,8.83965e-05,8.83965e-05,8.83965e-05
17,147.907,2.42565,3.09393,2.25476,0.52505,0.24639,0.28279,0.13715,2.5843,2.86626,2.38529,8.80896e-05,8.80896e-05,8.80896e-05
18,156.365,2.32496,2.9628,2.19526,0.60671,0.22922,0.30161,0.14509,2.53189,2.7051,2.33943,8.77827e-05,8.77827e-05,8.77827e-05
19,164.371,2.35832,2.96159,2.20086,0.67505,0.23932,0.33611,0.16458,2.47732,2.54733,2.2806,8.74758e-05,8.74758e-05,8.74758e-05
20,171.585,2.40892,2.95714,2.21565,0.65903,0.27853,0.34402,0.17367,2.41577,2.451,2.23288,8.71689e-05,8.71689e-05,8.71689e-05
21,179.562,2.26254,2.64658,2.12106,0.67785,0.27528,0.36416,0.18557,2.36428,2.35349,2.20204,8.6862e-05,8.6862e-05,8.6862e-05
22,187.598,2.31125,2.7977,2.18205,0.60875,0.32124,0.36754,0.19551,2.30852,2.28824,2.17639,8.65551e-05,8.65551e-05,8.65551e-05
23,194.92,2.15816,2.62116,2.11809,0.65133,0.3071,0.37725,0.20101,2.26881,2.23474,2.15681,8.62482e-05,8.62482e-05,8.62482e-05
24,202.631,2.27236,2.62824,2.09802,0.6016,0.32823,0.38295,0.20663,2.22714,2.17562,2.12826,8.59413e-05,8.59413e-05,8.59413e-05
25,209.937,2.22307,2.43182,2.04764,0.60971,0.34576,0.39846,0.2188,2.18833,2.08308,2.09902,8.56344e-05,8.56344e-05,8.56344e-05
26,218.393,2.25522,2.54789,2.06262,0.58893,0.37571,0.41809,0.22896,2.15882,1.98069,2.06749,8.53275e-05,8.53275e-05,8.53275e-05
27,226.731,2.10543,2.33303,1.98732,0.58893,0.37571,0.41809,0.22896,2.15882,1.98069,2.06749,8.50206e-05,8.50206e-05,8.50206e-05
28,234.974,2.14158,2.2989,2.0224,0.60395,0.38971,0.44841,0.24532,2.11344,1.90108,2.02939,8.47137e-05,8.47137e-05,8.47137e-05
29,243.101,2.09581,2.31462,2.01776,0.65286,0.41544,0.45601,0.25519,2.06816,1.84542,2.00456,8.44068e-05,8.44068e-05,8.44068e-05
30,252.107,2.0302,2.24869,1.95383,0.69974,0.40453,0.46823,0.26018,2.0478,1.8122,1.99321,8.40999e-05,8.40999e-05,8.40999e-05
